index,symbol,long name,currency,exchange,industry,description,sector,country,ipo date,shorter name,Type,Industries,Similar Companies,price,mktCap,name raw,currency symbol,robinhood name,short name,
115,PHT,Pioneer High Income Trust,USD,NYSE,Asset Management,"Pioneer High Income Trust (the Trust) is a diversified, closed-end management investment company. The Trust's investment objective is to seek a high level of current income and to seek capital appreciation. The Trust seeks to invest in corporate bonds and notes, senior secured floating rate loan interests, convertible bonds and notes, preferred stocks, common stocks, sovereign debt obligations, collateralized mortgage obligations, asset-backed securities and convertible preferred stocks, among others. The Trust seeks to invest in various sectors, including energy, transportation, consumer services, oil and gas drilling, healthcare equipment and services, and education services. The Trust's investment advisor is Amundi Pioneer Asset Management, Inc.",Financial Services,US,4/26/2002,Pioneer High Income Trust,ETF,"['Financial Services', 'Asset Management']",[],8.53,249347248,Pioneer High Income Trust of Beneficial Interest,$,Pioneer High Income Trust,Pioneer High Income Trust,
117,JCE,Nuveen Core Equity Alpha Fund,USD,NYSE,Asset Management,"Nuveen Core Equity Alpha Fund (the Fund) is a diversified closed-end management investment fund. The Fund's investment objective is to provide an attractive level of total return primarily through long term capital appreciation and secondarily through income and gains. It will invest in a portfolio of common stocks selected from among the 500 stocks comprising the S&P 500 Index, using a mathematical process designed by INTECH Investment Management LLC (INTECH) to select large cap, core equity securities and will also employ risk reduction techniques. The Fund's equity portfolio will hold 150-450 stocks included in the S&P 500 Index. It has investments in a range of sectors, including semiconductors & equipment, oil, gas & consumable fuels, aerospace & defense, insurance, software, multi-utilities, technology hardware, storage & peripherals and IT services. The Fund's investment advisor is Nuveen Fund Advisors, LLC. Its sub-advisors include INTECH and Nuveen Asset Management, LLC.",Financial Services,US,3/28/2007,Nuveen Core Equity Alpha Fund,ETF,"['Financial Services', 'Asset Management']",[],13.2,211586752,Nuveen Core Equity Alpha Fund of Beneficial Interest,$,Nuveen Core Equity Alpha Fund,Nuveen Core Equity Alpha Fund,
118,PKO,Pimco Income Opportunity Fund,USD,NYSE,Asset Management,"PIMCO Income Opportunity Fund (the Fund) is a diversified closed-end management investment company. The Fund's investment objective is to seek current income as a primary focus and also capital appreciation. The Fund invests a substantial portion of assets in a variety of mortgage-related securities and may hold common stocks, including those received from conversion of other portfolio securities. The Fund may invest up to 40% of its total assets in bank loans (including, among others, senior loans, delayed funding loans and revolving credit facilities). The Fund may also invest up to 40% of its total assets in securities of issuers economically tied to emerging market countries. The Fund invests in range of portfolio sectors, which include the United States Government Related, mortgage, non-agency mortgage, high yield credit, emerging markets, emerging markets and other. Pacific Investment Management Company LLC is the investment manager of the Fund.",Financial Services,US,11/28/2007,PIMCO Income Opportunity Fund,ETF,"['Financial Services', 'Asset Management']",[],23.55,448062272,Pimco Income Opportunity Fund of Beneficial Interest,$,PIMCO Income Opportunity Fund,PIMCO Income Opportunity Fund,
119,JGH,Nuveen Global High Income Fund,USD,NYSE,Asset Management,"Nuveen Global High Income Fund (the Fund) is a diversified, closed-end management investment company. The Fund's objective is to provide high level of current income. The Fund invests at least 80% of its managed assets in global income-producing securities including, but not limited to, corporate debt securities, United States and foreign government debt securities, mortgage- and asset-backed securities, preferred securities, secured and unsecured loans and convertible debt securities. The Fund invests at least 65% of its managed assets in securities that at the time of investment are rated below investment grade. The Fund invests no more than 25% of its managed assets in securities of issuers located in emerging market countries. The Fund’s investment adviser is Nuveen Fund Advisors, LLC. Nuveen Asset Management, LLC is the Fund's investment portfolio manager.",Financial Services,US,11/24/2014,Nuveen Global High Income Fund,ETF,"['Financial Services', 'Asset Management']",[],14.33,332132128,Nuveen Global High Income Fund of Beneficial Interest,$,Nuveen Global High Income Fund,Nuveen Global High Income Fund,
120,JRS,Nuveen Real Estate Income Fund,USD,NYSE,Asset Management,"Nuveen Real Estate Income Fund (the Fund) is a closed-end management investment company. The Fund is designed to invest at least 90% of its assets in income producing common stocks, preferred stocks, convertible preferred stocks and debt securities issued by real estate companies, with at least 80% of its total assets invested in income producing equity securities issued by real estate investment trusts (REITs). Its portfolio composition includes specialized, office, retail, residential, industrial, health care, diversified and hotels, restaurants & leisure. The Fund’s investment adviser is Nuveen Fund Advisors, LLC.",Financial Services,US,11/16/2001,Nuveen Real Estate Income Fund,ETF,"['Financial Services', 'Asset Management']",[],8.14,235184960,Nuveen Real Estate Income Fund of Beneficial Interest,$,Nuveen Real Estate Income Fund,Nuveen Real Estate Income Fund,
121,PML,Pimco Municipal Income Fund II,USD,NYSE,Asset Management,"PIMCO Municipal Income Fund II (the Fund) is a diversified, closed-end management investment company. The Fund's primary investment objective is to seek current income exempt from federal income tax. The Fund invests approximately 90% of its net assets (and over 80% of its net assets plus any borrowings for investment purposes) in municipal bonds that pay interest that is exempt from federal income tax. The Fund also seeks to be alternative minimum tax (AMT)-free by avoiding bonds generating interest that may subject individuals to the AMT. Pacific Investment Management Company LLC serves as the Fund's investment manager.",Financial Services,US,6/26/2002,PIMCO Municipal Income Fund II,ETF,"['Financial Services', 'Asset Management']",[],13.76,865788860,Pimco Municipal Income Fund II of Beneficial Interest,$,PIMCO Municipal Income Fund II,PIMCO Municipal Income Fund II,
123,GDV,Gabelli Dividend & Income Trust,USD,NYSE,Asset Management,"The Gabelli Dividend & Income Trust (the Fund) is a diversified, closed-end management investment company. The Fund's investment objective is to provide a level of total return on its assets with an emphasis on dividends and income. The Fund invests at least 80% of its assets in dividend paying securities, such as common and preferred stock or other income producing securities, such as fixed income debt securities and securities that are convertible into equity securities. The Fund invests in a range of sectors, which includes financial services, food and beverage, healthcare, energy and utilities-oil, retail, entertainment, telecommunications, consumer products, cable and satellite, specialty chemicals, business services, paper and forest products, cable and satellite, computer software and services, wireless communications, machinery, hotels and gaming, broadcasting and transportation. The Fund's investment advisor is Gabelli Funds, LLC.",Financial Services,US,11/25/2003,Gabelli Dividend & Income Trust,ETF,"['Financial Services', 'Asset Management']",[],20.01,1811479420,Gabelli Dividend & Income Trust of Beneficial Interest,$,Gabelli Dividend & Income Trust,Gabelli Dividend & Income Trust,
124,PMX,PIMCO Municipal Income Fund III,USD,NYSE,Asset Management,"PIMCO Municipal Income Fund III (the Fund) is a diversified, closed-end management investment company. The Fund's primary investment objective is to seek current income exempt from federal income tax. The Fund invests approximately 90% of its net assets (and over 80% of its net assets plus any borrowings for investment purposes) in municipal bonds that pay interest that is exempt from federal income tax. The Fund also seeks to be alternative minimum tax (AMT)-free by avoiding bonds generating interest that may subject individuals to the AMT. Pacific Investment Management Company LLC serves as the Fund's investment manager.",Financial Services,US,10/29/2002,PIMCO Municipal Income Fund III,ETF,"['Financial Services', 'Asset Management']",[],11.51,381395360,PIMCO Municipal Income Fund III of Beneficial Interest,$,PIMCO Municipal Income Fund III,PIMCO Municipal Income Fund III,
125,GGM,Guggenheim Credit Allocation Fund,,NYSE,Asset Management,"Guggenheim Credit Allocation Fund is a diversified, closed-end management investment company. The Fund's investment objective is to seek total return through a combination of current income and capital appreciation. It invests approximately 80% of its net assets, plus the amount of any borrowings for investment purposes, in fixed income securities, debt securities, loans and investments with economic characteristics similar to fixed-income securities, debt securities and loans. It invests in various credit securities, such as corporate bonds, loans and loan participations, asset-backed securities, mortgage-backed securities, the United States Government and agency securities, mezzanine and preferred securities, convertible securities, municipal securities and sovereign government and supranational debt securities. Its investment portfolio includes high yield corporate bonds, bank loans and asset-backed securities. Its investment advisor is Guggenheim Funds Investment Advisors, LLC.",Financial Services,US,6/26/2013,Guggenheim Credit Allocation Fund,ETF,"['Financial Services', 'Asset Management']",[],19.07,172770384,Guggenheim Credit Allocation Fund of Beneficial Interest,,Guggenheim Credit Allocation Fund,Guggenheim Credit Allocation Fund,
126,NSA,National Storage Affiliates Trust,USD,NYSE,REIT Industrial,"National Storage Affiliates Trust operates as a real estate investment trust. The company is headquartered in Greenwood Village, Colorado and currently employs 461 full-time employees. The firm is focused on the ownership, operation and acquisition of self-storage properties located within various metropolitan statistical areas (MSAs) across the United States. The firm's operating partnership subsidiary is NSA OP, LP. As of December 31, 2016, the Company held ownership interests in and operated a geographically diversified portfolio of 448 self storage properties, located in 23 states, comprising approximately 27.6 million rentable square feet, configured in approximately 220,000 storage units. The firm's self-storage properties are located in various states of the United States, such as California, Florida, Indiana, Ohio, Louisiana, Oregon, New Hampshire, Oklahoma, Texas, Nevada, New Mexico, Arizona, Colorado and Georgia.",Real Estate,US,4/23/2015,National Storage Affiliates Trust,ETF,"['Real Estate', 'REIT - Industrial', 'REITs']","['SLG', 'AKR', 'MITT', 'SNH']",36.2,2504953090,National Storage Affiliates Trust of Beneficial Interest,$,National Storage Affiliates Trust,National Storage Affiliates Trust,
127,PGZ,Principal Real Estate Income Fund,,NYSE,Asset Management,"Principal Real Estate Income Fund is a non-diversified, closed-end management investment company. The Fund's investment objective is to seek to provide high current income, with capital appreciation as a secondary investment objective, by investing in commercial real estate related securities. It will invest approximately 60% of its total assets in commercial real estate-related securities, primarily consisting of commercial mortgage backed securities (CMBS) and other United States and non-United States real estate-related securities (primarily real estate investment trusts (REITs). The Fund invests in computer software, real estate operation/development, REITS-apartments, REITS-hotels, REITS-manufactured homes, REITS-mortgage and REITS-office property. ALPS Advisors, Inc. is the Fund's investment advisor.",Financial Services,US,6/24/2013,Principal Real Estate Income Fund,ETF,"['Financial Services', 'Asset Management']",[],10.92,75345816,Principal Real Estate Income Fund of Beneficial Interest,,Principal Real Estate Income Fund,Principal Real Estate Income Fund,
128,IVH,Ivy High Income Opportunities Fund,USD,NYSE,Asset Management,"Ivy High Income Opportunities Fund (the Fund) is a non-diversified, closed-end management investment company. The Fund's investment objective is to seek to provide total return through a combination of a high level of current income and capital appreciation. The Fund will seek to achieve its investment objective by investing primarily in a portfolio of high yield corporate bonds of varying maturities and other fixed income instruments of predominantly corporate issuers, including secured and unsecured loan assignments, loan participations and other loan instruments. The Fund will invest at least 80% of its Managed Assets in a portfolio of the United States and foreign bonds, loans and other fixed income instruments, as well as other investments (including derivatives) with similar economic characteristics. Ivy Investment Management Company is the investment advisor of the Fund.",Financial Services,US,5/29/2013,Ivy High Income Opportunities Fund,ETF,"['Financial Services', 'Asset Management']",[],12.35,204641984,Ivy High Income Opportunities Fund of Beneficial Interest,$,Ivy High Income Opportunities Fund,Ivy High Income Opportunities Fund,
129,HPI,John Hancock Preferred Income Fund,USD,NYSE,Asset Management,"John Hancock Preferred Income Fund is a closed-end, diversified management investment company. The Fund's investment objective is to provide a high level of income consistent with preservation of capital, and to provide growth of capital. Normally, the Fund invests at least 80% of its assets (net assets plus borrowings for investment purposes) in preferred stocks and other preferred securities, including convertible preferred securities. In addition, the fund invests 25% or more of its total assets in the industries comprising the utilities sector. Its portfolio composition includes the United States preferred securities, foreign preferred securities, common stocks, corporate bonds and short term investments. The Company's sector composition includes financials, utilities, energy, telecommunication services, healthcare, industrials, consumer staples and short term investments. The Company's investment advisor is John Hancock Advisers, LLC.",Financial Services,US,8/23/2002,John Hancock Preferred Income Fund,ETF,"['Financial Services', 'Asset Management']",[],18.99,497386080,John Hancock Preferred Income Fund of Beneficial Interest,$,John Hancock Preferred Income Fund,John Hancock Preferred Income Fund,
130,PMT,PennyMac Mortgage Investment Trust,USD,NYSE,REIT Mortgage,"PennyMac Mortgage Investment Trust is a finance company, which invests primarily in residential mortgage loans and mortgage-related assets. The company is headquartered in Westlake Village, California and currently employs 3 full-time employees. The firm conducts all of its operations, and makes all of its investments, through PennyMac Operating Partnership, L.P. (its Operating Partnership) and its subsidiaries. The company operates through two segments: correspondent production and investment activities. Its investment activities segment represents the Company's investments in mortgage-related assets. The correspondent production segment represents the Company's operations aimed at serving as an intermediary between mortgage lenders and the capital markets by purchasing, pooling and reselling newly originated prime credit quality mortgage loans either directly or in the form of MBS, using the services of PNMAC Capital Management (the Manager or PCM) and PennyMac Loan Services, LLC (PLS), both indirect subsidiaries of PennyMac Financial Services, Inc. (PFSI or PennyMac).",Real Estate,US,7/30/2009,PennyMac Mortgage Investment Trust,ETF,"['Real Estate', 'REIT - Diversified', 'REITs']","['NYMT', 'DX', 'CMO', 'MFA', 'IVR', 'MITT']",16.36,1616194690,PennyMac Mortgage Investment Trust of Beneficial Interest,$,PennyMac Mortgage Investment Trust,PennyMac Mortgage Investment Trust,
131,BIT,BlackRock Multi-Sector Income Trust,USD,NYSE,Asset Management,"BlackRock Multi-Sector Income Trust (the Trust) is a non-diversified, closed-end management investment company. The Trust's investment objective is to provide current income, current gains and capital appreciation. The Trust seeks to achieve its investment objective by investing, under normal market conditions, at least 80% of its assets in credit-related securities, including, but not limited to, investment grade corporate bonds, high yield bonds, bank loans, preferred securities or convertible bonds or derivatives with economic characteristics similar to these credit-related securities. The Trust has investments in various sectors, such as oil, gas and consumable fuels; real estate investment trusts; auto components; air freight and logistics; beverages; airlines; biotechnology; building products; communications equipment and diversified telecommunication services. Its investment manager is BlackRock Advisors, LLC.",Financial Services,US,2/26/2013,Blackrock Multi-Sector Income Trust,ETF,"['Financial Services', 'Asset Management']",[],16.56,621622660,BlackRock Multi-Sector Income Trust of Beneficial Interest,$,BlackRock Multi-Sector Income Trust,BlackRock Multi-Sector Income Trust,
132,EARN,Ellington Residential Mortgage REIT,USD,NYSE,REIT Mortgage,"Ellington Residential Mortgage REIT operates as a real estate investment trust, which engages in the acquisition, investment, and management of residential mortgage and real estate-related assets. The company is headquartered in Old Greenwich, Connecticut and currently employs 150 full-time employees. The firm conducts its business through its subsidiaries, EARN OP GP LLC and Ellington Residential Mortgage LP (the Operating Partnership). The company specializes in acquiring, investing in and managing residential mortgage- and real estate-related assets. The company constructs and managing a portfolio consisting of residential mortgage-backed securities (RMBS) for which the principal and interest payments are guaranteed by the United States Government agency or the United States Government-sponsored entity (Agency RMBS) and, to a lesser extent, RMBS backed by prime jumbo, Alternative A-paper manufactured housing, and subprime residential mortgage loans (non-Agency RMBS). Its Agency RMBS include residential mortgage pass-through certificates, collateralized mortgage obligations (CMOs) and to-be-announced mortgage pass-through certificates (TBAs). Its non-agency RMBS include investment grade and non-investment grade classes.",Real Estate,US,1/5/2013,Ellington Residential Mortgage REIT,ETF,"['Real Estate', 'REIT - Residential', 'REITs']","['NYMT', 'WMC', 'EFC', 'MITT', 'ORC', 'TWO']",11.79,145424928,Ellington Residential Mortgage REIT of Beneficial Interest,$,Ellington Residential Mortgage REIT,Ellington Residential Mortgage REIT,
133,MHI,Pioneer Municipal High Income Trust,USD,NYSE,Asset Management,"Pioneer Municipal High Income Trust (the Trust) is a diversified, closed-end management investment company. The Trust may invest in securities of issuers that are in default or that are in bankruptcy. The Trust may invest up to 20% of its total assets in illiquid securities. It invests across various sectors, including facilities, utilities, tobacco, water, transportation, development, health and education. The Trust’s investment advisor is Amundi Pioneer Asset Management, Inc.",Financial Services,US,7/18/2003,Pioneer Municipal High Income Trust,ETF,"['Financial Services', 'Asset Management']",[],11.95,272117024,Pioneer Municipal High Income Trust of Beneficial Interest,$,Pioneer Municipal High Income Trust,Pioneer Municipal High Income Trust,
134,DBL,DoubleLine Opportunistic Credit Fund,,NYSE,Asset Management,"DoubleLine Opportunistic Credit Fund is a non-diversified closed-end management investment company. The Fund's investment objective is to seek high total investment return by providing a high level of current income and the potential for capital appreciation. The Fund may invest in debt securities and income-producing investments of any kind, including, without limitation, residential and commercial mortgage-backed securities, asset-backed securities, the United States Government securities, corporate debt, international sovereign debt and short-term investments. In addition, the Fund may invest in other asset classes and investments such as, among others, real estate investment trusts (REITs), credit default swaps, short sales, derivatives and smaller companies. DoubleLine Capital LP is the investment advisor of the Fund.",Financial Services,US,1/27/2012,Doubleline Opportunistic Credit Fund,ETF,"['Financial Services', 'Asset Management']",[],19.24,287709184,DoubleLine Opportunistic Credit Fund of Beneficial Interest,,DoubleLine Opportunistic Credit Fund,DoubleLine Opportunistic Credit Fund,
135,NEV,Nuveen Enhanced Municipal Value Fund,USD,NYSE,Asset Management,"Nuveen Enhanced Municipal Value Fund (the Fund) is a diversified, closed-end management investment company. The Fund’s primary investment objective is to provide current income exempt from regular federal income tax. It primarily invests in a portfolio of municipal obligations issued by state and local government authorities or certain United States territories. The Funds’ investment adviser is Nuveen Fund Advisors, LLC.",Financial Services,US,9/25/2009,Nuveen Enhanced Municipal Value Fund,ETF,"['Financial Services', 'Asset Management']",[],15.83,392963904,Nuveen Enhanced Municipal Value Fund of Beneficial Interest,$,Nuveen Enhanced Municipal Value Fund,Nuveen Enhanced Municipal Value Fund,
136,HIE,Miller/Howard High Income Equity Fund,,NYSE,Asset Management,"Miller/Howard High Income Equity Fund is a closed-end, non-diversified management investment company. The Fund's primary investment objective is to seek a high level of current income. As a secondary objective, it seeks capital appreciation. Under normal market conditions, the Fund invests approximately 80% of its total assets in dividend or distribution paying equity securities of the United States companies and the non-United States companies traded on the United States exchanges. The Fund may invest in equity securities, including common stocks, preferred stocks, convertible securities, warrants, depository receipts and equity interests in trust and other entities. The Fund invests in various sectors, which include real estate investment trusts, telephone communications, business credit institutions, radiotelephone communications and pharmaceutical preparations. Miller/Howard Investments, Inc. is the investment advisor of the Fund.",Financial Services,US,11/25/2014,Miller/Howard High Income Equity Fund,ETF,"['Financial Services', 'Asset Management']",[],6.95,129900360,Miller/Howard High Income Equity Fund of Beneficial Interest,,Miller/Howard High Income Equity Fund,Miller/Howard High Income Equity Fund,
